node_count,timestamp
7459,7502
7001,11243
6651,14988
6386,18737
6113,22484
5860,26225
5635,29966
5410,33710
5179,37447
5009,41196
4811,44931
4632,48671
4496,52407
4359,56148
4213,59888
4074,63631
3967,67368
3861,71105
3776,74847
3691,78594
3620,82338
3560,86083
3493,89833
3416,93580
3359,97325
3314,101068
3247,104809
3189,108552
3132,112292
3068,116028
2989,119763
2918,123499
2855,127238
2784,130971
2727,134698
2667,138427
2614,142161
2570,145895
2510,149625
2454,153356
2415,157095
2374,160826
2335,164560
2284,168302
2229,172043
2185,175783
2144,179519
2114,183254
2075,186989
2041,190730
2006,194470
1967,198210
1937,201949
